keyword,target_page,page_type,state_slug,state_name,game_family_slug,game_name,session_slug,primary_intent,backlink_intent,page_importance_score,intent_match_score,competition_tier,competition_score,ranking_opportunity_score,backlink_value_score,priority_score,opportunity_tier,backlink_priority_tier,monthly_searches,difficulty,cpc,metrics_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,ranking_signal,needs_data_fields
mega millions numbers today,/states/ga/mega-millions,game_family,ga,Georgia,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/il/mega-millions,game_family,il,Illinois,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions numbers today,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000,needs data,0.09-0.60 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/ga/mega-millions,game_family,ga,Georgia,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/il/mega-millions,game_family,il,Illinois,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/ga/mega-millions,game_family,ga,Georgia,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/il/mega-millions,game_family,il,Illinois,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions winning numbers,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
michigan mega millions past results,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan mega millions results,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan mega millions winning numbers,/states/mi/mega-millions,game_family,mi,Michigan,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball double play past results,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball double play results,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball double play winning numbers,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball past results,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball results,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
michigan powerball winning numbers,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york lottery games,/states/ny,state,ny,New York,,,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york lottery numbers,/states/ny,state,ny,New York,,,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york lottery past results,/states/ny,state,ny,New York,,,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york lottery results,/states/ny,state,ny,New York,,,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york lottery results today,/states/ny,state,ny,New York,,,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
new york winning numbers,/states/ny,state,ny,New York,,,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina mega millions past results,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina mega millions results,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina mega millions winning numbers,/states/nc/mega-millions,game_family,nc,North Carolina,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball double play past results,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball double play results,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball double play winning numbers,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball past results,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball results,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
north carolina powerball winning numbers,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio mega millions past results,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio mega millions results,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio mega millions winning numbers,/states/oh/mega-millions,game_family,oh,Ohio,mega-millions,Mega Millions,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio powerball past results,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio powerball results,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
ohio powerball winning numbers,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pick 3 numbers today,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
pick 3 results,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.15-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
pick 3 winning numbers,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,50000,needs data,0.04-0.33 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball double play numbers today,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play numbers today,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play results,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play results,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play winning numbers,/states/mi/powerball-double-play,game_family,mi,Michigan,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball double play winning numbers,/states/nc/powerball-double-play,game_family,nc,North Carolina,powerball-double-play,Powerball Double Play,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/ga/powerball,game_family,ga,Georgia,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/il/powerball,game_family,il,Illinois,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball numbers today,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball results,/states/ga/powerball,game_family,ga,Georgia,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/il/powerball,game_family,il,Illinois,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/ga/powerball,game_family,ga,Georgia,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/il/powerball,game_family,il,Illinois,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/mi/powerball,game_family,mi,Michigan,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/nc/powerball,game_family,nc,North Carolina,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball winning numbers,/states/oh/powerball,game_family,oh,Ohio,powerball,Powerball,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
texas pick 3 past results,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,historical,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas pick 3 results,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
texas pick 3 winning numbers,/states/tx/pick-3,game_family,tx,Texas,pick-3,Pick 3,,informational,commercial/backlink target,89,92,MEDIUM,62,50,73.7,75.46,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona mega millions past results,/states/az/mega-millions,game_family,az,Arizona,mega-millions,Mega Millions,,historical,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona mega millions results,/states/az/mega-millions,game_family,az,Arizona,mega-millions,Mega Millions,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona mega millions winning numbers,/states/az/mega-millions,game_family,az,Arizona,mega-millions,Mega Millions,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona powerball past results,/states/az/powerball,game_family,az,Arizona,powerball,Powerball,,historical,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona powerball results,/states/az/powerball,game_family,az,Arizona,powerball,Powerball,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
arizona powerball winning numbers,/states/az/powerball,game_family,az,Arizona,powerball,Powerball,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california superlotto plus past results,/states/ca/superlotto-plus,game_family,ca,California,superlotto-plus,Superlotto Plus,,historical,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california superlotto plus results,/states/ca/superlotto-plus,game_family,ca,California,superlotto-plus,Superlotto Plus,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california superlotto plus winning numbers,/states/ca/superlotto-plus,game_family,ca,California,superlotto-plus,Superlotto Plus,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
cash 5 numbers today,/states/tx/cash-5,game_family,tx,Texas,cash-5,Cash 5,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
cash 5 results,/states/tx/cash-5,game_family,tx,Texas,cash-5,Cash 5,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,5000,needs data,0.02-0.15 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
cash 5 winning numbers,/states/tx/cash-5,game_family,tx,Texas,cash-5,Cash 5,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,50000,needs data,0.02-0.19 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
florida pick 3 past results,/states/fl/pick-3,game_family,fl,Florida,pick-3,Pick 3,,historical,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida pick 3 results,/states/fl/pick-3,game_family,fl,Florida,pick-3,Pick 3,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
florida pick 3 winning numbers,/states/fl/pick-3,game_family,fl,Florida,pick-3,Pick 3,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
lotto texas numbers today,/states/tx/lotto-texas,game_family,tx,Texas,lotto-texas,Lotto Texas,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
lotto texas results,/states/tx/lotto-texas,game_family,tx,Texas,lotto-texas,Lotto Texas,,informational,commercial/backlink target,88,92,MEDIUM,62,50,73,75.05,HIGH,Tier 2,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
